進出口別,日期,貨品號列,中文貨名,英文貨名,國家,美元(千元),重量(公噸)
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,土耳其,251,2.524
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,中國大陸,24323,874.3
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,丹麥,103,1.51
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,巴布亞紐幾內亞,0,0.008
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,巴西,715,5.372
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,日本,24522,289.281
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,比利時,1946,25.45
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,以色列,417,3.099
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,加拿大,14562,252.196
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,立陶宛,102,3.328
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,匈牙利,174,1.88
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,印尼,16,0.279
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,印度,891,16.817
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,吐瓦魯,9,0.059
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,多明尼加,1,0.06
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,西班牙,2594,30.32
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,克羅埃西亞,3,0.102
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,希臘,6,0.052
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,沙烏地阿拉伯,86,1.251
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,其他國家,14,0.145
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,孟加拉,97,4.226
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,波蘭,1780,48.195
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,法國,2762,25.208
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,芬蘭,233,3.688
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,阿拉伯聯合大公國,897,33.853
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,阿爾巴尼亞,0,0.01
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,保加利亞,1,0.006
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,俄羅斯,153,4.742
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,南非,350,13.356
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,南韓,2189,38.901
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,哈薩克,1,0.011
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,柬埔寨,0,0
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,科威特,203,7.241
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,美國,66634,995.609
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,英國,4598,74.01
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,香港,23671,397.478
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,剛果,3,0.021
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,哥倫比亞,467,19.121
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,哥斯大黎加,0,0.001
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,埃及,170,7.309
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,挪威,61,0.53
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,泰國,4628,75.249
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,海地,3,0.04
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,烏克蘭,16,0.352
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,秘魯,30,1.204
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,紐西蘭,79,2.542
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,紐喀里多尼亞,1,0.024
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,馬來西亞,68093,1467.078
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,捷克,7140,76.908
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,荷蘭,11457,226.098
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,斯洛伐克,127,1.709
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,斯洛維尼亞,633,3.072
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,智利,1,0.013
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,菲律賓,12869,296.081
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,越南,5232,76.559
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,塞內加爾,0,0.042
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,塞席爾,6,0.189
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,奧地利,398,4.835
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,愛爾蘭,30,1.482
出口總值(含復出口),108年,850760,鋰離子蓄電池, Lithium-ion,新加坡,4455,35.618
